TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
190,64.212,64.326,31.690,53.942,53.543
191,63.642,62.443,31.919,55.369,53.343
192,62.843,63.870,32.432,53.200,53.086
193,62.558,63.242,30.892,54.912,52.901
194,62.329,63.014,33.060,55.197,53.400
195,63.927,62.272,30.549,53.771,52.630
196,64.098,63.471,31.120,55.083,53.443
197,63.927,63.642,32.033,55.140,53.685
198,62.672,63.870,31.177,55.483,53.300
199,36.084,36.198,32.375,55.654,40.078
TIMES,SM1,SM2,SM3,SM4
